Pipe created successfully
Pipe created successfully
God task created successfully
User Interaction task created successfully
Semaphore created successfully
Tower task started!
Tower task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Last instance period =    194 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    334 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    213 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    212 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    295 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    259 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    168 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    243 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    207 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    169 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    172 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    300 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    173 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    184 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    185 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    172 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    181 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    188 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    178 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    184 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    173 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    170 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    164 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    163 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    178 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    169 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    263 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    152 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    186 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    277 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    211 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    281 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    253 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    342 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    176 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    185 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    213 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    315 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    213 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    278 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    173 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    330 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    168 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    146 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    172 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    254 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    180 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    178 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    176 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    166 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    171 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    168 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    156 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    167 Maximum =    823 Minumum =    140 (us), Seconds: 
