Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     13 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      1 (us), Seconds: 
